ID_Empleado, Nombre completo, Nombre completo del supervisor, Monto a pagar(monto neto)
1,Denis Tyler, ,0.00
2,Clarissa Parker,Denis Tyler,0.00
6,Boris Wallace,Clarissa Parker,0.00
23,Cassandra Connell,Boris Wallace,0.00
24,Deborah Nurton,Boris Wallace,0.00
65,Chadwick Bennett,Deborah Nurton,0.00
155,Christine Herbert,Chadwick Bennett,0.00
317,Benjamin Gibbons,Christine Herbert,0.00
318,Hanna Warden,Christine Herbert,0.00
319,Michael Pitt,Christine Herbert,0.00
320,Nate Collins,Christine Herbert,0.00
321,Ron Squire,Christine Herbert,0.00
322,Nathan Summers,Christine Herbert,0.00
66,Liam Knight,Deborah Nurton,0.00
67,Ramon Ellison,Deborah Nurton,0.00
25,Teagan Roberts,Boris Wallace,0.00
7,Maria Alexander,Clarissa Parker,0.00
26,Boris Spencer,Maria Alexander,0.00
68,Alan Wilde,Boris Spencer,0.00
69,Rosie Hunt,Boris Spencer,0.00
70,Percy Sherwood,Boris Spencer,0.00
156,Charlize Miller,Percy Sherwood,0.00
323,Hank Ripley,Charlize Miller,0.00
324,Quinn Price,Charlize Miller,0.00
325,Melody Ventura,Charlize Miller,0.00
157,Mike Barclay,Percy Sherwood,0.00
326,Tom Drew,Mike Barclay,0.00
327,Kaylee Stanley,Mike Barclay,0.00
328,Bryon Williams,Mike Barclay,0.00
329,Shay Hamilton,Mike Barclay,0.00
158,Carl Hood,Percy Sherwood,0.00
330,Miley Murray,Carl Hood,0.00
331,Joseph Emmett,Carl Hood,0.00
332,Alessia Groves,Carl Hood,0.00
71,Jackeline Tobin,Boris Spencer,0.00
159,Blake Noon,Jackeline Tobin,0.00
333,Doug Stark,Blake Noon,0.00
334,Bob Wilson,Blake Noon,0.00
335,Matthew Robinson,Blake Noon,0.00
336,Bart Pitt,Blake Noon,0.00
160,Bryce Calderwood,Jackeline Tobin,0.00
337,Logan Gibson,Bryce Calderwood,0.00
338,Willow Giles,Bryce Calderwood,0.00
339,Caitlyn Moss,Bryce Calderwood,0.00
340,Blake Collins,Bryce Calderwood,0.00
161,Beatrice Bradshaw,Jackeline Tobin,0.00
341,Marvin Powell,Beatrice Bradshaw,0.00
342,Hank Reading,Beatrice Bradshaw,0.00
27,Sabrina Robinson,Maria Alexander,0.00
72,Celina Campbell,Sabrina Robinson,0.00
162,Adelaide Fenton,Celina Campbell,0.00
343,Sebastian Collins,Adelaide Fenton,0.00
344,Benny Emmott,Adelaide Fenton,0.00
345,Bart Mcleod,Adelaide Fenton,0.00
163,Havana Whitmore,Celina Campbell,0.00
346,Bob Edley,Havana Whitmore,0.00
347,Phoebe Haines,Havana Whitmore,0.00
348,Harry Raven,Havana Whitmore,0.00
349,Kendra Stuart,Havana Whitmore,0.00
164,Jules Mitchell,Celina Campbell,0.00
350,Mason Rixon,Jules Mitchell,0.00
351,Johnny Clarke,Jules Mitchell,0.00
352,Fred Burge,Jules Mitchell,0.00
353,Maya Carter,Jules Mitchell,0.00
354,Luna Oatway,Jules Mitchell,0.00
73,Mason Quinn,Sabrina Robinson,0.00
74,Danny Vallory,Sabrina Robinson,0.00
165,Julia Olivier,Danny Vallory,0.00
355,George Upton,Julia Olivier,0.00
166,Emerald Ross,Danny Vallory,0.00
167,Ciara Mcnally,Danny Vallory,0.00
28,Jacob Driscoll,Maria Alexander,0.00
29,Josh Downing,Maria Alexander,0.00
8,Kurt Wright,Clarissa Parker,0.00
30,Manuel Griffiths,Kurt Wright,0.00
75,Lucas Skinner,Manuel Griffiths,0.00
76,Tyler Rehman,Manuel Griffiths,0.00
168,Bryon Leigh,Tyler Rehman,0.00
169,Caleb Boden,Tyler Rehman,0.00
170,Melanie Gray,Tyler Rehman,0.00
356,Ryan Hunter,Melanie Gray,0.00
357,Gil Cartwright,Melanie Gray,0.00
358,Livia Hill,Melanie Gray,0.00
171,Kurt Allington,Tyler Rehman,0.00
359,Chad Miller,Kurt Allington,0.00
360,Ronald Bristow,Kurt Allington,0.00
361,Abdul Robinson,Kurt Allington,0.00
77,Daphne Mullins,Manuel Griffiths,0.00
172,Sage Forester,Daphne Mullins,0.00
362,Mark Wellington,Sage Forester,0.00
363,Ronald Wooldridge,Sage Forester,0.00
364,Benjamin Thornton,Sage Forester,0.00
173,Barney Nielson,Daphne Mullins,0.00
174,Leroy Wild,Daphne Mullins,0.00
365,Tony Trent,Leroy Wild,0.00
366,Teagan Shaw,Leroy Wild,0.00
367,Noah Fall,Leroy Wild,0.00
31,Maddison Silva,Kurt Wright,0.00
78,Selena Patel,Maddison Silva,0.00
79,Charlize Whitmore,Maddison Silva,0.00
32,Camellia Watson,Kurt Wright,0.00
3,Harmony Rycroft,Denis Tyler,0.00
9,Dani James,Harmony Rycroft,0.00
33,Bob Booth,Dani James,0.00
34,George Cassidy,Dani James,0.00
80,Brad Nurton,George Cassidy,0.00
175,Elijah Collis,Brad Nurton,0.00
176,Remy Hancock,Brad Nurton,0.00
368,Phillip Bailey,Remy Hancock,0.00
369,Juliette Dickson,Remy Hancock,0.00
370,Clint Briggs,Remy Hancock,0.00
371,Owen Whinter,Remy Hancock,0.00
177,Lara Simpson,Brad Nurton,0.00
372,Dasha Reynolds,Lara Simpson,0.00
373,Ruby Bradley,Lara Simpson,0.00
374,Hayden Whatson,Lara Simpson,0.00
81,Francesca Driscoll,George Cassidy,0.00
178,Alan Kelly,Francesca Driscoll,0.00
179,Benny Cattell,Francesca Driscoll,0.00
82,Rick Roth,George Cassidy,0.00
83,Luke Walker,George Cassidy,0.00
35,Hayden Collins,Dani James,0.00
84,Russel Middleton,Hayden Collins,0.00
180,Jacqueline Davies,Russel Middleton,0.00
375,Bart Marshall,Jacqueline Davies,0.00
376,Davina Notman,Jacqueline Davies,0.00
377,Allison Flett,Jacqueline Davies,0.00
181,Ellen Gardner,Russel Middleton,0.00
378,Percy Andrews,Ellen Gardner,0.00
379,Rufus Scott,Ellen Gardner,0.00
182,Michael Cameron,Russel Middleton,0.00
183,Marjorie Hepburn,Russel Middleton,0.00
85,Michelle Mcgee,Hayden Collins,0.00
184,Percy Rixon,Michelle Mcgee,0.00
380,Maria Gibson,Percy Rixon,0.00
381,Julius Michael,Percy Rixon,0.00
382,Paige Hamilton,Percy Rixon,0.00
383,Eryn Poole,Percy Rixon,0.00
185,Goldie Giles,Michelle Mcgee,0.00
384,Javier Pierce,Goldie Giles,0.00
385,Russel Connell,Goldie Giles,0.00
36,Phillip Curtis,Dani James,0.00
86,Margaret Hunter,Phillip Curtis,0.00
186,Bethany Whinter,Margaret Hunter,0.00
386,Tyson Ranks,Bethany Whinter,0.00
